utterance,label,previous speaker
"Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty",Rick,Morty
"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  you've got to put these seeds inside your butt.",Rick,Morty
"Come on, Morty. Please, Morty. You have to do it, Morty.",Rick,Morty
What? Why didn't you notify us?,Beth,Principal Vagina
"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?",Jerry,Principal Vagina
What kind of God lets this happen?,Summer,Beth
"I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?",Rick,Announcer
"Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt.",Morty,Rick
"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-",Rick,Morty
Why does he have to go over there?,Rick,Rick
What new-  what new machine?,Rick,Rick
"Ooh! Oh, nice, Morty! The student becomes the teacher.",Rick,Rick
"I need to type in the coordinates to our home world, Morty. Cover me.",Rick,Morty
"Oh, man. I mean, you know, I-I don't want to shoot nobody.",Morty,Rick
"They're just robots, Morty! It's okay to shoot them! They're robots!",Rick,Morty
"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!",Rick,Morty
"Come on, Morty! We got to get the hell out of here!",Rick,Morty
"Uh, yeah. Well, you know, my-my Ferrari's in the shop.  Just kidding.",Morty,Jessica
"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass.",Rick,Morty
"Oh, look, honey. It's our son with Albert Ein-douche.",Jerry,Rick
"I'm an angry father, not an improviser.",Jerry,Beth
"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?",Rick,Jerry
You guys should really not be touching that stuff. It's beyond your reasoning.,Rick,Rick
"Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's.",Beth,Rick
What what are you guys doing with my stuff?,Rick,Beth
We're moving you to a nursing home.,Beth,Rick
"A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun.",Rick,Beth
"Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas.",Jerry,Rick
"Dad, mom, come on. Rick just needed my help is all.",Morty,Jerry
"Morty, stay out of this. You are obviously not capable of judging these situations on your own.",Jerry,Morty
What are you trying to say about Morty? That he's stupid or something?,Rick,Jerry
"Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes.",Beth,Rick
I-I-I don't know what you mean by that. Can can can you be a little bit more specific?,Rick,Beth
"Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?",Jerry,Rick
"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard.",Jerry,Morty
"Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once.",Morty,Jerry
"Morty, t-tell your parents the square root of pi.",Rick,Morty
"Oh, come on, Rick. You know I can't.",Morty,Rick
"The square root of Pi, Morty. Go!",Rick,Morty
"Morty, tell your parents the first law of Thermodynamics.",Rick,Jerry
"""The increment in the internal energy of a system is equal to the increment of heat supplied to the system."" Wow! I'm so smart!",Morty,Rick
I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.,Rick,Jerry
"Jerry, I don't want whatever's happening here to stop.",Beth,Rick
"No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school.",Jerry,Beth
"Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it's gonna be clear communication.",Rick,Jerry
Frank Palicky was frozen to death today!,Summer,Rick
No idea what you're talking about.,Rick,Summer
"Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you'll have me, I would love to have you.",Jerry,Rick
"Holy cow, Rick. I didn't know hanging out with you was making me smarter.",Morty,Beth
"Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity.",Rick,Morty
"Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty.",Rick,Morty
"Ohh, man.  Oh, geez! Ohh.",Morty,Rick
"I'm sorry, Morty. It's a bummer. In reality, you're as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now we're gonna have to go get more adventures.  And then we're gonna go on even more adventures after that, Morty and you're gonna keep your mouth shut about it, Morty, because the world is full of idiots that don't understand what's important, and they'll tear us apart, Morty but if you stick with me, I'm gonna accomplish great things, Morty, and you're gonna be part of them, and together, we're gonna run around, Morty. We're gonna do all kinds of wonderful things, Morty. Just you and me, Morty. The outside world is our enemy, Morty. We're the only friends we've got, Morty. It's just Rick and Morty. Rick and Morty and their adventures, Morty. Rick and Morty forever and forever. Morty's things. Me and Rick and Morty running around, and Rick and Morty time. All day long, forever. All a hundred days. Rick and Morty forever 100 times. Over and over, rickandmortyadventures.com. All 100 years. Every minute, rickandmorty.com.",Rick,Morty
What? Why are you looking at me? You want to go outside? Outside?,Jerry,
Are you kidding me?! Come on!,Jerry,Jerry
"Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy.",Morty,Jerry
"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!",Jerry,Morty
"Morty, come on. I need your help tonight.",Rick,Jerry
"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?",Jerry,Rick
"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty.",Rick,Jerry
"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!",Jerry,Rick
"Boy, you really got me up against a wall this time, Jerry.",Rick,Morty
"All right, Ruffles What's his name?",Rick,Rick
"Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty.",Rick,Summer
"Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one.",Rick,Morty
"It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about.",Rick,Morty
"That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may--be make sense.",Rick,Morty
"You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time.",Rick,Morty
"Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework?",Morty,Rick
"Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it.",Rick,Morty
"Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me.",Rick,Rick
"Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird.",Morty,Rick
"It's about to get a whole lot weirder, Morty.",Rick,Morty
"All right, Morty, time to make our move.",Rick,Mrs. Pancakes
Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!,Rick,Mrs. Pancakes
"Hey! I said nobody move, buddy!",Rick,Rick
"Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math.  I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty.",Rick,Morty
What?! Are you kidding me?! Ohhhhhh!,Morty,Rick
"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!",Rick,Morty
This is what I'm talking about. This is a dog.,Jerry,Summer
"You said the same thing, equally sarcastically, at our wedding and guess what?",Jerry,Jerry
"Oh, my God! He's trying to tell us something.  That is so awesome.",Summer,Snuffles
"Aw, he's saying ""I love lasagna"".",Jerry,Snuffles
"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Summer,Snuffles
I should call Bob Saget. Is that still a thing?,Jerry,Summer
"Goldenfold, we're coming out! We just want to talk!",Rick,Snuffles
Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,Rick,Rick
"Oh, no, Morty. His subconscious is panicking.",Rick,Mr. Goldenfold
Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,Rick,Rick
"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",Rick,Morty
"Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!",Morty,Mrs. Pancakes
"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!",Rick,Morty
"Oh, man, Rick, this is pretty weird.",Morty,Rick
"Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.",Morty,Rick
"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.",Rick,Morty
"Hey, there, stranger. What do you think of these things?",Summer,Morty
"Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Rick,Morty
"Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.",Summer,Morty
"Time to go another dream deep, Morty!",Rick,Summer
What the hell? Why would Mr. Goldenfold's dream version of Mrs.,Morty,Rick
"Geez, I don't know, Morty. Wha-what do you want from me?",Rick,Morty
Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Rick,Morty
"Whoa! Hey, buddy. What you got going on there?",Jerry,Scary Terry
Humans understand snuffles now? That is awesome!,Summer,Snuffles
"Okay, yeah. I get what Beth was talking about. Fun's over.",Jerry,Snuffles
"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.",Summer,Jerry
I don't know. It's Indian giving.,Summer,Jerry
"Aw! Oh, my God! He recognizes the other dogs on TV.",Summer,Summer
"Holy crap! We have to escape into someone else's dreams, Morty!",Rick,Summer
"Oh, man, oh, man, oh, man!",Morty,Rick
"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Rick,Morty
"Oh, geez, Rick. W-w-whoa, this isn't good.",Morty,Rick
"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Rick,Morty
"Okay, Snowball, just calm down, okay? You're scaring me.",Summer,Snuffles
"Hey. Oh, wow. Okay, is is is everything okay in here?",Jerry,Summer
What are we here for again? Incepting? We're trying to incept-,Rick,Snuffles
"We're trying to incept me to get an ""A"" in math?",Morty,Rick
"Man, he sure says ""bitch"" a lot!",Morty,Morty
"Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding.",Rick,Scary Terry
But that's the opposite of what-,Morty,Rick
"Yeah, well, since when are we taking this guy's advice on anything?",Rick,Morty
"Hey, you know what? You got a really good point there, Rick. Like, if the truth was that we could hide, it's not like he'd be sharing that information with us, you know? I-I-I think it's a good idea, Rick.",Morty,Rick
Worst-case scenario we're back to running.,Rick,Morty
"Wow, you know what? I mean, it looks like we could have just hid this whole time. Boy, Rick, that was some good thinking.",Morty,Rick
"Thanks, Morty. Yeah, it's nice to be on the same page every once in a while.",Rick,Morty
"Oh, this is perfect, Morty. Look at that. He's getting sleepy. Just a little bit longer before he calls it a day. That's when we make our move.",Rick,Scary Terry
"Snuffles, we didn't mean you any harm! This is a huge misunderstanding.",Jerry,Rick
"Dad, he wants to be called snowball.",Summer,Jerry
"Well, I'm not calling him that. That's ridiculous.",Jerry,Summer
Huh! You think you can control me with a haircut?,Jerry,Snuffles
"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him.",Rick,Scary Terry
Looks like scary Terry's having a nightmare.,Rick,Rick
"Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry.",Morty,Rick
"Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?",Rick,Scary Terry
"You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is.",Rick,Rick
"Hey, yo, scary T., don't even trip about your pants dawg. Here's a pair on us, fool.",Morty,Rick
"You don't need to say anything. We got you, dawg.",Morty,Scary Terry
"You're our boy, dawg. Don't even trip.",Rick,Morty
"As a matter of fact, Terry, there is something you could help us with.",Rick,Scary Terry
"Out of the frying pan dot, dot, dot, huh, Morty?",Rick,Morty
"Well, it's possible that your dog became self-aware and made modifications on the cognition amplifier, then turned on Jerry, Beth, and Summer after learning about humanity's cruel subjugation of his species, but your guess is as good as mine, Morty.",Rick,Morty
I can't believe how mean snuffles got just because he's smart.,Jerry,Rick
This is why I choose to get C's.,Summer,Jerry
If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.,Rick,Morty
"Whoa, whoa, whoa. We're not going anywhere. This is my house. I'm not abandoning it.",Jerry,Rick
"It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right?",Rick,Jerry
"Wait a minute. I have an idea. Gentlemen, a moment of your time.  See that? I'm peeing all over your special guns. That means I own them.",Jerry,Rick
"Mmm. Thank you, Fido. Rick! I thought you were dead!",Morty,Snuffles
"No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon.",Rick,Morty
"It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream.",Rick,Morty
But I-it's been like a whole year!,Morty,Rick
"It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie.",Rick,Morty
"Aw, man. I really liked this life. Well, at least I didn't really crap my pants.",Morty,Rick
"No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth.",Rick,Morty
"Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these.",Rick,Morty
"Are these pills supposed to wake me up, or something?",Morty,Rick
Close. It's gonna make your kidneys shut down.,Rick,Morty
"It's necessary for the plan, Morty. Don't even trip, dawg.",Rick,Morty
"I'm sorry. It's just like the end of ""Old Yeller.",Jerry,Beth
"Oh, Jerry. You mean because it had dogs in it.",Beth,Jerry
"Wow! A whole world populated by intelligent dogs. I wonder what it'll be like, Rick.",Morty,Beth
"I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven.",Rick,Morty
"You know, that's a real comforting idea, Rick.",Morty,Rick
"What do you know, Morty? What do you know?",Rick,Morty
"Oooh! This is how you dream, bitch.",Rick,Rick
"Hurry up Morty, Grampa's about to unfreeze time. You know you really should be cleaning from top to bottom.",Summer,Rick
"I know how to vacuum Mom and Dad, Summer, I've been doing it for six months!",Morty,Summer
"Then you've been doing it wrong for six months. Oh, my God, is that mildew?",Summer,Morty
It's not my fault we froze time on a humid day!,Morty,Summer
"You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?",Summer,Morty
What? What kind of monster are you?,Morty,Summer
Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.,Rick,Summer
"Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize.",Rick,Rick
Our time is gonna be unstable? What does that even mean?,Morty,Rick
"It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards.",Rick,Morty
"Uh, did we ever put that mattress under Mr. Benson?",Morty,Rick
"...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed.",Jerry,Rick
"Negative visualization, Jerry. It explains a lot about where you're at. Hi, sweety.",Rick,Jerry
W-We just missed you a lot.,Morty,Beth
"Yeah, we missed you so much. Too much to hug you though.",Summer,Morty
"Yeah it would literally destroy them. Now listen, why do—why do—why—why don't you guys go get a free sunday ice cream,  go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts.",Rick,Summer
"This better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket.",Jerry,Rick
"Sweety, is your shirt on backwards?",Beth,Jerry
"Yeah, I like it this way. I'm not stupid.",Jerry,Rick
"Man that guy is the Red Grin Grumble to pretending he knows what's going on.  Oh you agree, huh?  You like that Red Grin Grumble reference?  Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep.",Rick,Morty
"Yup, it really makes you appreciate how fickle the universe can be.   One minute you're falling off a roof for six months, the next minute, bam!",Rick,Summer
"Uh, just to be clear, it was Summer's job to put the mattress under-",Morty,Rick
"Uh, what? It was your job, Morty.",Summer,Morty
"Actually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson.",Rick,Summer
